NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MIR-124 PREDICTED INTERACTIONS WITH CELL CYCLE AND DIFFERENTIATION %WIKIPATHWAYS_20220310%WP3595%HOMO SAPIENS	6		Rejected!	
SPLICING FACTOR NOVA REGULATED SYNAPTIC PROTEINS%WIKIPATHWAYS_20220310%WP4148%HOMO SAPIENS	35	25		
TRANSCRIPTION FACTORS REGULATE MIRNAS RELATED TO CARDIAC HYPERTROPHY%WIKIPATHWAYS_20220310%WP1559%HOMO SAPIENS	6		Rejected!	
PREGNANE X RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP2876%HOMO SAPIENS	24		Rejected!	
EBOLA VIRUS INFECTION IN HOST%WIKIPATHWAYS_20220310%WP4217%HOMO SAPIENS	115	90		
CHEMOKINE SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP3929%HOMO SAPIENS	140	81		
SPHINGOLIPID METABOLISM IN SENESCENCE%WIKIPATHWAYS_20220310%WP5121%HOMO SAPIENS	22	18		
AMINO ACID CONJUGATION OF BENZOIC ACID%WIKIPATHWAYS_20220310%WP521%HOMO SAPIENS	3		Rejected!	
HISTONE MODIFICATIONS%WIKIPATHWAYS_20220310%WP2369%HOMO SAPIENS	41	33		
MITOCHONDRIAL IMMUNE RESPONSE TO SARS-COV-2%WIKIPATHWAYS_20220310%WP5038%HOMO SAPIENS	28	22		
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20220310%WP186%HOMO SAPIENS	12		Rejected!	
GPCRS, CLASS A RHODOPSIN-LIKE%WIKIPATHWAYS_20220310%WP455%HOMO SAPIENS	238	38		
INTERACTOME OF POLYCOMB REPRESSIVE COMPLEX 2 (PRC2) %WIKIPATHWAYS_20220310%WP2916%HOMO SAPIENS	15	15		
HEDGEHOG SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4249%HOMO SAPIENS	36	30		
G PROTEIN SIGNALING PATHWAYS%WIKIPATHWAYS_20220310%WP35%HOMO SAPIENS	74	54		
NRF2 PATHWAY%WIKIPATHWAYS_20220310%WP2884%HOMO SAPIENS	116	62		
PHASE I BIOTRANSFORMATIONS, NON P450%WIKIPATHWAYS_20220310%WP136%HOMO SAPIENS	8		Rejected!	
EXERCISE-INDUCED CIRCADIAN REGULATION%WIKIPATHWAYS_20220310%WP410%HOMO SAPIENS	36	27		
CYTOSINE METHYLATION%WIKIPATHWAYS_20220310%WP3585%HOMO SAPIENS	6		Rejected!	
PHOSPHODIESTERASES IN NEURONAL FUNCTION%WIKIPATHWAYS_20220310%WP4222%HOMO SAPIENS	38	26		
IL-1 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP195%HOMO SAPIENS	48	42		
ACRYLAMIDE BIOTRANSFORMATION AND EXPOSURE BIOMARKERS%WIKIPATHWAYS_20220310%WP4233%HOMO SAPIENS	1		Rejected!	
CILIARY LANDSCAPE%WIKIPATHWAYS_20220310%WP4352%HOMO SAPIENS	188	152		
CORTICOTROPIN-RELEASING HORMONE SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP2355%HOMO SAPIENS	76	49		
STRIATED MUSCLE CONTRACTION PATHWAY%WIKIPATHWAYS_20220310%WP383%HOMO SAPIENS	28		Rejected!	
MECP2 AND ASSOCIATED RETT SYNDROME%WIKIPATHWAYS_20220310%WP3584%HOMO SAPIENS	59	41		
PPAR-ALPHA PATHWAY%WIKIPATHWAYS_20220310%WP2878%HOMO SAPIENS	24		Rejected!	
HFE EFFECT ON HEPCIDIN PRODUCTION%WIKIPATHWAYS_20220310%WP3924%HOMO SAPIENS	5		Rejected!	
EGF/EGFR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP437%HOMO SAPIENS	126	107		
NOTCH SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP61%HOMO SAPIENS	48	37		
CHROMOSOMAL AND MICROSATELLITE INSTABILITY IN COLORECTAL CANCER %WIKIPATHWAYS_20220310%WP4216%HOMO SAPIENS	63	57		
WNT/BETA-CATENIN SIGNALING PATHWAY IN LEUKEMIA%WIKIPATHWAYS_20220310%WP3658%HOMO SAPIENS	24	18		
ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220310%WP111%HOMO SAPIENS	96	73		
JOUBERT SYNDROME%WIKIPATHWAYS_20220310%WP4656%HOMO SAPIENS	65	56		
ALLOGRAFT REJECTION%WIKIPATHWAYS_20220310%WP2328%HOMO SAPIENS	80	31		
DOPAMINERGIC NEUROGENESIS%WIKIPATHWAYS_20220310%WP2855%HOMO SAPIENS	27		Rejected!	
MALE INFERTILITY%WIKIPATHWAYS_20220310%WP4673%HOMO SAPIENS	112	61		
16P11.2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20220310%WP4950%HOMO SAPIENS	29	19		
MAPK CASCADE%WIKIPATHWAYS_20220310%WP422%HOMO SAPIENS	30	29		
GLYCOSAMINOGLYCAN DEGRADATION%WIKIPATHWAYS_20220310%WP4815%HOMO SAPIENS	11		Rejected!	
OVERVIEW OF INTERFERONS-MEDIATED SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4558%HOMO SAPIENS	36		Rejected!	
DEVELOPMENT AND HETEROGENEITY OF THE ILC FAMILY%WIKIPATHWAYS_20220310%WP3893%HOMO SAPIENS	31	15		
FBXL10 ENHANCEMENT OF MAP/ERK SIGNALING IN DIFFUSE LARGE B-CELL LYMPHOMA%WIKIPATHWAYS_20220310%WP4553%HOMO SAPIENS	20		Rejected!	
DRUG INDUCTION OF BILE ACID PATHWAY%WIKIPATHWAYS_20220310%WP2289%HOMO SAPIENS	15		Rejected!	
CAMKK2 PATHWAY%WIKIPATHWAYS_20220310%WP4874%HOMO SAPIENS	30	24		
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	86	80		
CANCER IMMUNOTHERAPY BY CTLA4 BLOCKADE%WIKIPATHWAYS_20220310%WP4582%HOMO SAPIENS	11		Rejected!	
GAMMA-GLUTAMYL CYCLE FOR THE BIOSYNTHESIS AND DEGRADATION OF GLUTATHIONE, INCLUDING DISEASES%WIKIPATHWAYS_20220310%WP4518%HOMO SAPIENS	6		Rejected!	
MRNA PROCESSING%WIKIPATHWAYS_20220310%WP411%HOMO SAPIENS	105	92		
EXTRACELLULAR VESICLE-MEDIATED SIGNALING IN RECIPIENT CELLS%WIKIPATHWAYS_20220310%WP2870%HOMO SAPIENS	23	18		
NANOPARTICLE-MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20220310%WP2643%HOMO SAPIENS	27	25		
KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP304%HOMO SAPIENS	55	47		
B CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP23%HOMO SAPIENS	86	60		
HORMONAL CONTROL OF PUBERTAL GROWTH SPURT%WIKIPATHWAYS_20220310%WP4194%HOMO SAPIENS	2		Rejected!	
INFLUENZA A VIRUS INFECTION%WIKIPATHWAYS_20220310%WP1438%HOMO SAPIENS	1		Rejected!	
ZINC HOMEOSTASIS%WIKIPATHWAYS_20220310%WP3529%HOMO SAPIENS	31	21		
NON-SMALL CELL LUNG CANCER%WIKIPATHWAYS_20220310%WP4255%HOMO SAPIENS	62	51		
HOST-PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES - INTERFERON INDUCTION%WIKIPATHWAYS_20220310%WP4880%HOMO SAPIENS	33	30		
DEREGULATION OF RAB AND RAB EFFECTOR GENES IN BLADDER CANCER%WIKIPATHWAYS_20220310%WP2291%HOMO SAPIENS	12		Rejected!	
PROTEASOME DEGRADATION%WIKIPATHWAYS_20220310%WP183%HOMO SAPIENS	48	38		
INTERFERON TYPE I SIGNALING PATHWAYS%WIKIPATHWAYS_20220310%WP585%HOMO SAPIENS	49	45		
PURINE METABOLISM AND RELATED DISORDERS%WIKIPATHWAYS_20220310%WP4224%HOMO SAPIENS	16		Rejected!	
ENDOTHELIN PATHWAYS%WIKIPATHWAYS_20220310%WP2197%HOMO SAPIENS	32	17		
FAMILIAL HYPERLIPIDEMIA TYPE 4%WIKIPATHWAYS_20220310%WP5111%HOMO SAPIENS	17		Rejected!	
PPAR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP3942%HOMO SAPIENS	53	26		
APOPTOSIS MODULATION AND SIGNALING%WIKIPATHWAYS_20220310%WP1772%HOMO SAPIENS	76	64		
OVARIAN INFERTILITY%WIKIPATHWAYS_20220310%WP34%HOMO SAPIENS	27	15		
FGF23 SIGNALING IN HYPOPHOSPHATEMIC RICKETS AND RELATED DISORDERS%WIKIPATHWAYS_20220310%WP4790%HOMO SAPIENS	21		Rejected!	
CANNABINOID RECEPTOR SIGNALING%WIKIPATHWAYS_20220310%WP3869%HOMO SAPIENS	25	18		
SEROTONIN AND ANXIETY-RELATED EVENTS%WIKIPATHWAYS_20220310%WP3944%HOMO SAPIENS	11		Rejected!	
P53 TRANSCRIPTIONAL GENE NETWORK%WIKIPATHWAYS_20220310%WP4963%HOMO SAPIENS	58	51		
TNF-ALPHA SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP231%HOMO SAPIENS	78	68		
MIR-222 IN EXERCISE-INDUCED CARDIAC GROWTH%WIKIPATHWAYS_20220310%WP3938%HOMO SAPIENS	3		Rejected!	
EXTRACELLULAR VESICLES IN THE CROSSTALK OF CARDIAC CELLS%WIKIPATHWAYS_20220310%WP4300%HOMO SAPIENS	17		Rejected!	
NIPBL ROLE IN DNA DAMAGE - CORNELIA DE LANGE SYNDROME%WIKIPATHWAYS_20220310%WP5119%HOMO SAPIENS	8		Rejected!	
IRON METABOLISM IN PLACENTA%WIKIPATHWAYS_20220310%WP2007%HOMO SAPIENS	11		Rejected!	
GANGLIO SPHINGOLIPID METABOLISM%WIKIPATHWAYS_20220310%WP1423%HOMO SAPIENS	11		Rejected!	
OLIGODENDROCYTE SPECIFICATION AND DIFFERENTIATION, LEADING TO MYELIN COMPONENTS FOR CNS%WIKIPATHWAYS_20220310%WP4304%HOMO SAPIENS	26		Rejected!	
DNA DAMAGE RESPONSE%WIKIPATHWAYS_20220310%WP707%HOMO SAPIENS	60	51		
IL-18 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4754%HOMO SAPIENS	228	153		
CONVERSION OF ANGIOTENSINOGEN TO ANGIOTENSIN II %WIKIPATHWAYS_20220310%WP4818%HOMO SAPIENS	2		Rejected!	
NOTCH1 REGULATION OF ENDOTHELIAL CELL CALCIFICATION%WIKIPATHWAYS_20220310%WP3413%HOMO SAPIENS	14		Rejected!	
SELENIUM MICRONUTRIENT NETWORK%WIKIPATHWAYS_20220310%WP15%HOMO SAPIENS	74	41		
SOLUBLE ACE2-MEDIATED CELL ENTRY OF SARS-COV-2%WIKIPATHWAYS_20220310%WP5076%HOMO SAPIENS	4		Rejected!	
AFLATOXIN B1 METABOLISM%WIKIPATHWAYS_20220310%WP699%HOMO SAPIENS	6		Rejected!	
MIR-517 RELATIONSHIP WITH ARCN1 AND USP1%WIKIPATHWAYS_20220310%WP3596%HOMO SAPIENS	5		Rejected!	
GPCRS, OTHER%WIKIPATHWAYS_20220310%WP117%HOMO SAPIENS	84	23		
SCFA AND SKELETAL MUSCLE SUBSTRATE METABOLISM%WIKIPATHWAYS_20220310%WP4030%HOMO SAPIENS	6		Rejected!	
KENNEDY PATHWAY FROM SPHINGOLIPIDS%WIKIPATHWAYS_20220310%WP3933%HOMO SAPIENS	12		Rejected!	
TYPE II DIABETES MELLITUS%WIKIPATHWAYS_20220310%WP1584%HOMO SAPIENS	18		Rejected!	
GDNF SIGNALING%WIKIPATHWAYS_20220310%WP5143%HOMO SAPIENS	2		Rejected!	
CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP2875%HOMO SAPIENS	27		Rejected!	
INFLUENCE OF LAMINOPATHIES ON WNT SIGNALING%WIKIPATHWAYS_20220310%WP4844%HOMO SAPIENS	30	25		
ESTROGEN SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP712%HOMO SAPIENS	19	16		
CELL CYCLE%WIKIPATHWAYS_20220310%WP179%HOMO SAPIENS	98	84		
PRION DISEASE PATHWAY%WIKIPATHWAYS_20220310%WP3995%HOMO SAPIENS	31	19		
BDNF-TRKB SIGNALING%WIKIPATHWAYS_20220310%WP3676%HOMO SAPIENS	30	27		
ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20220310%WP2853%HOMO SAPIENS	124	88		
AMP-ACTIVATED PROTEIN KINASE (AMPK) SIGNALING%WIKIPATHWAYS_20220310%WP1403%HOMO SAPIENS	54	44		
FOLATE METABOLISM%WIKIPATHWAYS_20220310%WP176%HOMO SAPIENS	60	29		
HEPATOCYTE GROWTH FACTOR RECEPTOR SIGNALING%WIKIPATHWAYS_20220310%WP313%HOMO SAPIENS	28	26		
MACROPHAGE MARKERS%WIKIPATHWAYS_20220310%WP4146%HOMO SAPIENS	7		Rejected!	
GLIOBLASTOMA SIGNALING PATHWAYS%WIKIPATHWAYS_20220310%WP2261%HOMO SAPIENS	70	64		
LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP2034%HOMO SAPIENS	71	62		
ETHANOL METABOLISM PRODUCTION OF ROS BY CYP2E1%WIKIPATHWAYS_20220310%WP4269%HOMO SAPIENS	10		Rejected!	
PROXIMAL TUBULE TRANSPORT%WIKIPATHWAYS_20220310%WP4917%HOMO SAPIENS	47	22		
GENES CONTROLLING NEPHROGENESIS%WIKIPATHWAYS_20220310%WP4823%HOMO SAPIENS	40	21		
GABA METABOLISM (AKA GHB)%WIKIPATHWAYS_20220310%WP4157%HOMO SAPIENS	5		Rejected!	
IL-2 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP49%HOMO SAPIENS	38	30		
ARACHIDONATE EPOXYGENASE / EPOXIDE HYDROLASE%WIKIPATHWAYS_20220310%WP678%HOMO SAPIENS	7		Rejected!	
OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20220310%WP3941%HOMO SAPIENS	37	28		
EBSTEIN-BARR VIRUS LMP1 SIGNALING%WIKIPATHWAYS_20220310%WP262%HOMO SAPIENS	21		Rejected!	
INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20220310%WP3414%HOMO SAPIENS	29	27		
METABOLIC PATHWAY OF LDL, HDL AND TG, INCLUDING DISEASES%WIKIPATHWAYS_20220310%WP4522%HOMO SAPIENS	13		Rejected!	
MEVALONATE PATHWAY%WIKIPATHWAYS_20220310%WP3963%HOMO SAPIENS	7		Rejected!	
RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20220310%WP4312%HOMO SAPIENS	42	32		
KETOGENESIS AND KETOLYSIS%WIKIPATHWAYS_20220310%WP4742%HOMO SAPIENS	5		Rejected!	
HEME BIOSYNTHESIS%WIKIPATHWAYS_20220310%WP561%HOMO SAPIENS	8		Rejected!	
IL-4 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP395%HOMO SAPIENS	47	42		
HEMATOPOIETIC STEM CELL GENE REGULATION BY GABP ALPHA/BETA COMPLEX%WIKIPATHWAYS_20220310%WP3657%HOMO SAPIENS	17	15		
UREA CYCLE AND ASSOCIATED PATHWAYS%WIKIPATHWAYS_20220310%WP4595%HOMO SAPIENS	18		Rejected!	
GLUCURONIDATION%WIKIPATHWAYS_20220310%WP698%HOMO SAPIENS	22		Rejected!	
INSULIN SIGNALING IN ADIPOCYTES (NORMAL CONDITION)%WIKIPATHWAYS_20220310%WP3634%HOMO SAPIENS	7		Rejected!	
OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTRIBUTING TO LMNA LAMINOPATHIES%WIKIPATHWAYS_20220310%WP4879%HOMO SAPIENS	45	37		
OSTEOCLAST SIGNALING%WIKIPATHWAYS_20220310%WP12%HOMO SAPIENS	14		Rejected!	
SRF AND MIRS IN SMOOTH MUSCLE DIFFERENTIATION AND PROLIFERATION%WIKIPATHWAYS_20220310%WP1991%HOMO SAPIENS	7		Rejected!	
PTF1A RELATED REGULATORY PATHWAY%WIKIPATHWAYS_20220310%WP4147%HOMO SAPIENS	11		Rejected!	
DEVELOPMENT OF URETERIC COLLECTION SYSTEM%WIKIPATHWAYS_20220310%WP5053%HOMO SAPIENS	53	39		
22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220310%WP4657%HOMO SAPIENS	99	62		
BIOMARKERS FOR PYRIMIDINE METABOLISM DISORDERS%WIKIPATHWAYS_20220310%WP4584%HOMO SAPIENS	12		Rejected!	
GENES TARGETED BY MIRNAS IN ADIPOCYTES%WIKIPATHWAYS_20220310%WP1992%HOMO SAPIENS	10		Rejected!	
3Q29 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220310%WP4906%HOMO SAPIENS	49	38		
EGFR TYROSINE KINASE INHIBITOR RESISTANCE%WIKIPATHWAYS_20220310%WP4806%HOMO SAPIENS	73	63		
GALANIN RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP4970%HOMO SAPIENS	19		Rejected!	
NEPHROGENESIS%WIKIPATHWAYS_20220310%WP5052%HOMO SAPIENS	15		Rejected!	
SEROTONIN TRANSPORTER ACTIVITY%WIKIPATHWAYS_20220310%WP1455%HOMO SAPIENS	7		Rejected!	
DNA DAMAGE RESPONSE (ONLY ATM DEPENDENT)%WIKIPATHWAYS_20220310%WP710%HOMO SAPIENS	91	74		
DDX1 AS A REGULATORY COMPONENT OF THE DROSHA MICROPROCESSOR%WIKIPATHWAYS_20220310%WP2942%HOMO SAPIENS	7		Rejected!	
TCA CYCLE AND DEFICIENCY OF PYRUVATE DEHYDROGENASE COMPLEX (PDHC)%WIKIPATHWAYS_20220310%WP2453%HOMO SAPIENS	14		Rejected!	
LINOLEIC ACID METABOLISM AFFECTED BY SARS-COV-2%WIKIPATHWAYS_20220310%WP4853%HOMO SAPIENS	6		Rejected!	
OXIDATION BY CYTOCHROME P450%WIKIPATHWAYS_20220310%WP43%HOMO SAPIENS	54	18		
LET-7 INHIBITION OF ES CELL REPROGRAMMING%WIKIPATHWAYS_20220310%WP3299%HOMO SAPIENS	6		Rejected!	
DOWNREGULATION OF ACE2 BY SARS-COV-2 SPIKE PROTEIN%WIKIPATHWAYS_20220310%WP4799%HOMO SAPIENS	3		Rejected!	
THYROXINE (THYROID HORMONE) PRODUCTION%WIKIPATHWAYS_20220310%WP1981%HOMO SAPIENS	6		Rejected!	
DNA REPLICATION%WIKIPATHWAYS_20220310%WP466%HOMO SAPIENS	33	28		
GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP2880%HOMO SAPIENS	64	48		
COVID-19, THROMBOSIS AND ANTICOAGULATION%WIKIPATHWAYS_20220310%WP4927%HOMO SAPIENS	6		Rejected!	
VALPROIC ACID PATHWAY%WIKIPATHWAYS_20220310%WP3871%HOMO SAPIENS	11		Rejected!	
CYSTEINE AND METHIONINE CATABOLISM%WIKIPATHWAYS_20220310%WP4504%HOMO SAPIENS	13		Rejected!	
FERROPTOSIS%WIKIPATHWAYS_20220310%WP4313%HOMO SAPIENS	50	36		
SPINAL CORD INJURY%WIKIPATHWAYS_20220310%WP2431%HOMO SAPIENS	108	64		
NUCLEOTIDE EXCISION REPAIR IN XERODERMA PIGMENTOSUM %WIKIPATHWAYS_20220310%WP5114%HOMO SAPIENS	47	42		
KREBS CYCLE DISORDERS%WIKIPATHWAYS_20220310%WP4236%HOMO SAPIENS	6		Rejected!	
SPHINGOLIPID METABOLISM OVERVIEW%WIKIPATHWAYS_20220310%WP4725%HOMO SAPIENS	22	18		
MFAP5-MEDIATED OVARIAN CANCER CELL MOTILITY AND INVASIVENESS%WIKIPATHWAYS_20220310%WP3301%HOMO SAPIENS	12		Rejected!	
ACUTE VIRAL MYOCARDITIS%WIKIPATHWAYS_20220310%WP4298%HOMO SAPIENS	70	47		
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20220310%WP3651%HOMO SAPIENS	55	45		
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP138%HOMO SAPIENS	76	62		
MTHFR DEFICIENCY%WIKIPATHWAYS_20220310%WP4288%HOMO SAPIENS	16		Rejected!	
SARS-COV-2 INNATE IMMUNITY EVASION AND CELL-SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20220310%WP5039%HOMO SAPIENS	64	44		
PKC-GAMMA CALCIUM SIGNALING PATHWAY IN ATAXIA%WIKIPATHWAYS_20220310%WP4760%HOMO SAPIENS	17		Rejected!	
IL-9 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP22%HOMO SAPIENS	16		Rejected!	
PI3K-AKT SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4172%HOMO SAPIENS	303	186		
MFAP5 EFFECT ON PERMEABILITY AND MOTILITY OF ENDOTHELIAL CELLS VIA CYTOSKELETON REARRANGEMENT%WIKIPATHWAYS_20220310%WP4560%HOMO SAPIENS	17		Rejected!	
HIJACK OF UBIQUITINATION BY SARS-COV-2%WIKIPATHWAYS_20220310%WP4860%HOMO SAPIENS	5		Rejected!	
DISRUPTION OF POSTSYNAPTIC SIGNALING BY CNV%WIKIPATHWAYS_20220310%WP4875%HOMO SAPIENS	25		Rejected!	
GPCRS, CLASS C METABOTROPIC GLUTAMATE, PHEROMONE%WIKIPATHWAYS_20220310%WP501%HOMO SAPIENS	11		Rejected!	
